data
"GO TO GOAL; distance to goal: 1.60968094468"
"GO TO GOAL; distance to goal: 1.60968094468"
"GO TO GOAL; distance to goal: 1.59497683105"
"GO TO GOAL; distance to goal: 1.59497683105"
"GO TO GOAL; distance to goal: 1.5808828706"
"GO TO GOAL; distance to goal: 1.5730737671"
"GO TO GOAL; distance to goal: 1.56377275294"
"GO TO GOAL; distance to goal: 1.56224362797"
"GO TO GOAL; distance to goal: 1.5529798193"
"GO TO GOAL; distance to goal: 1.5529798193"
"GO TO GOAL; distance to goal: 1.55191967659"
"GO TO GOAL; distance to goal: 1.54403294957"
"GO TO GOAL; distance to goal: 1.52350048401"
"GO TO GOAL; distance to goal: 1.5118565269"
"GO TO GOAL; distance to goal: 1.50611879236"
"GO TO GOAL; distance to goal: 1.50611879236"
"GO TO GOAL; distance to goal: 1.49050627346"
"GO TO GOAL; distance to goal: 1.4849564038"
"GO TO GOAL; distance to goal: 1.48095127899"
"GO TO GOAL; distance to goal: 1.46972198483"
"GO TO GOAL; distance to goal: 1.46289254397"
"GO TO GOAL; distance to goal: 1.45725832462"
"GO TO GOAL; distance to goal: 1.44913954252"
"GO TO GOAL; distance to goal: 1.44779450743"
"GO TO GOAL; distance to goal: 1.44779450743"
"GO TO GOAL; distance to goal: 1.44503189869"
"GO TO GOAL; distance to goal: 1.43111480466"
"GO TO GOAL; distance to goal: 1.43111480466"
"GO TO GOAL; distance to goal: 1.4069496567"
"GO TO GOAL; distance to goal: 1.3992959538"
"GO TO GOAL; distance to goal: 1.39188611366"
"GO TO GOAL; distance to goal: 1.38615349574"
"GO TO GOAL; distance to goal: 1.37722793958"
"GO TO GOAL; distance to goal: 1.36978556375"
"GO TO GOAL; distance to goal: 1.36237324942"
"GO TO GOAL; distance to goal: 1.36237324942"
"GO TO GOAL; distance to goal: 1.36237324942"
"GO TO GOAL; distance to goal: 1.34130432271"
"GO TO GOAL; distance to goal: 1.34130432271"
"GO TO GOAL; distance to goal: 1.34130432271"
"GO TO GOAL; distance to goal: 1.3166733466"
"GO TO GOAL; distance to goal: 1.30858921454"
"GO TO GOAL; distance to goal: 1.30232401451"
"GO TO GOAL; distance to goal: 1.30232401451"
"GO TO GOAL; distance to goal: 1.30232401451"
"GO TO GOAL; distance to goal: 1.2763349288"
"GO TO GOAL; distance to goal: 1.27342078271"
"GO TO GOAL; distance to goal: 1.27342078271"
"GO TO GOAL; distance to goal: 1.27164686205"
"GO TO GOAL; distance to goal: 1.25441560394"
"GO TO GOAL; distance to goal: 1.24661847981"
"GO TO GOAL; distance to goal: 1.24661847981"
"GO TO GOAL; distance to goal: 1.23047374044"
"GO TO GOAL; distance to goal: 1.21067569547"
"GO TO GOAL; distance to goal: 1.20012276345"
"GO TO GOAL; distance to goal: 1.19802255496"
"GO TO GOAL; distance to goal: 1.17615499899"
"GO TO GOAL; distance to goal: 1.16744375531"
"GO TO GOAL; distance to goal: 1.1466990487"
"GO TO GOAL; distance to goal: 1.13370802435"
"GO TO GOAL; distance to goal: 1.11650907529"
"GO TO GOAL; distance to goal: 1.0957281227"
